Index,Word,Part of Speech,Meaning Definition,Antonym,Examples,Related Words Notes
54,ABANDON,VERB,Abandon: leave: desert,,"Abandon your family/ city/ country/ house/ attempts to do sth/ the idea of sth<br>Fearing further attacks, most of the population had abandoned the city. (Verb)",Adjective form is abandoned (Ex: There were lots of abandoned houses in the district). Noun form is abandonment (Ex: Government’s abandonment of the policy was criticized).
0,ABERRANT,ADJECTIVE,Unusual: unacceptable: atypical: abnormal,,Aberrant behavior/trees/weather,
51,ABUNDANT,ADJECTIVE,Abundant: plentiful: adequate: ample: rich,scarce,Abundant supplies/ opportunities/ work force(adjective),The noun is abundance (Ex: You can find the material in abundance in this region). The verb is abound (Ex: Examples of this reason abound).
1,ACCELERATE,VERB,Speed up: expedite: hasten: quicken,decelerate,measures to accelerate the rate of economic growth<br>The car accelerated smoothly away.,
65,ACCLAIM,VERB,praise: compliment: applaud: honor,,This movie has been widely acclaimed by film critics. (Verb)<br>The book has been widely/ universally/ highly acclaimed by teachers and pupils. (adjective),Noun: acclamation (He published a paper which won great acclaim among the academicians).
2,ACCOUNT FOR,VERB,Explain: clarify: rationalize: illuminate: justify,,Recent pressure at work may account for his behavior.<br>Can you account for your movements on that night?,
3,ACKNOWLEDGE,VERB,Accept: admit: concede: confess: grant: profess: recognize,,The family acknowledge the need for change.<br>He acknowledges that when he's tired he gets bad-tempered.<br>Claire acknowledged that she was guilty.<br>The government must acknowledge what is happening and do something about it.<br>This is a fact that most smokers readily acknowledge.<br>The film festival is acknowledged as an event of international importance.,
4,ADJACENT,ADJECTIVE,Next: adjoining: neighboring: close,,We stayed in adjacent rooms.<br>the building adjacent to the library,
5 # 6,AGGRAVATE,VERB # VERB,Worsen: exacerbate: intensify: increase # irritate: bother: nettle: offend,,Their money problems were further aggravated by a rise in interest rates.<br>Building the new road will only aggravate the situation. # What really aggravates me is the way she won't listen.,
7,AGILE,ADJECTIVE,Nimble: active: supple: swift: alert: sharp,,"Dogs are surprisingly agile.<br>He was physically strong and mentally agile.<br>With surprising agility, Karl darted across the road.",The noun form is agility.
8,ALLUDE,VERB,Refer: hint: mention: touch upon: imply,,"Rick didn't want to discuss his past, though he alluded darkly to 'some bad things that happened.",The noun form is allusion.
60,AMBIGUOUS,ADJECTIVE,indefinite: dubious: equivocal: enigmatic: vague: obscure,,The poem is highly ambiguous and open to various interpretations. (adjective),Adverb: ambiguously (The rules are ambiguously worded). Noun: ambiguity (There was an element of ambiguity in the president's reply).
10,ANNIHILATE,VERB,Destroy: abolish: eradicate: exterminate: obliterate,,Just one of these bombs could annihilate a city the size of New York.<br>Tyson annihilated his opponent in the first round.,
11,ARDUOUS,ADJECTIVE,Difficult: exhausting: fatiguing: laborious: onerous: strenuous: tiring: tough: challenging: daunting,,arduous task/work<br>arduous journey/voyage<br>an arduous journey through the mountains,
12 # 13,ARID,ADJECTIVE # ADJECTIVE,Dry: barren: sterile # Boring: tedious: uninteresting,,"Water from the Great Lakes is pumped to arid regions.<br>Arid years of dictatorship<br>Arid life # My mind was arid, all inspiration gone.",
14,ASSERT,VERB,State: insist on: claim: stress,,"French cooking, she asserted, is the best in the world.<br>He asserted that nuclear power was a safe and nonpolluting energy source.<br>Native Americans asserting their rights to ancestral land<br>Women began to assert themselves politically.<br>National pride began to assert itself.",
15 # 16,ASSET,NOUN # NOUN,Definition: the value of a company's assets # Benefit: advantage: blessing: boon: resource: capital: wealth,,a corporation with $9 billion in assets the value of a company's assets # A sense of humor is a great asset in this business.<br>be an asset to somebody/something<br>I think Rachel would be an asset to the department.,
17,ASTOUNDING,ADJECTIVE,Astonishing: amazing: impressive: sensational: breathtaking: brilliant: staggering: stunning,,The concert was an astounding success.<br>astoundingly beautiful scenery,The verb form is astound. Ex: The judge's decision astounded everyone.
18,ATTAIN,VERB,Achieve: accomplish: acquire: gain: obtain: reach,,More women are attaining positions of power. Share prices attained a high of $3.27.<br>After a year she had attained her ideal weight.<br>This target should be attainable.,The adjective form is attainable.
19,ATTRIBUTE,VERB,Ascribe: assign: refer: trace to,,The fall in the number of deaths from heart disease is generally attributed to improvements in diet.<br>The saying is usually attributed to Confucius.,This is a phrasal verb: attribute something to somebody/something.
20,AUGMENT,VERB,Increase: raise: enlarge,,Any surplus was sold to augment their income.<br>To augment the supplies,
21,AVID,ADJECTIVE,Enthusiastic: ardent: eager: fanatical: keen: passionate: zealous,,an avid collector of old jazz records<br>an avid reader,
36 # 37,Abrasion,NOUN # NOUN,Scrape: scratch: surface injury. Definition: an area on the surface of your skin that has been injured by being rubbed against something hard # Definition: the process of rubbing a surface very hard so that it becomes damaged or disappears,,She was treated for cuts and abrasions.<br>She had a small abrasion on her knee. # extra protection against abrasion<br>There seems to have been some abrasion of the surface.,
75,BIZARRE,ADJECTIVE,"unusual, strange, odd, extraordinary, exceptional, remarkable: weird",,They had worn bizarre costumes. (adjective)<br>It was rather a bizarre coincidence. (adjective),
22 # 23,BOAST,VERB # VERB,Brag # Possess,,"'I wouldn't be afraid,' she boasted.<br>Amy boasted that her son was a genius.<br>He's boasting about how much money he has made.<br>The company is inclined to boast of its success. # The city boasts two excellent museums.<br>The Society boasts 3000 members worldwide.",
24,BOOM,VERB,Flourish: develop: prosper: thrive,,"Business was booming, and money wasn't a problem.<br>Tourism on the island has boomed.",
25,BOON,NOUN,Benefit: advantage: blessing,,The bus service is a real boon to people in the village.,
26,BREAKTHROUGH,NOUN,"Development: advancement: progress: quantum leap, leap",,Scientists have made a major breakthrough in the treatment of cancer.,
28,BURGEON,VERB,Develop: flourish: grow: expand,,My confidence started to burgeon later in life.<br>the burgeoning market for digital cameras,
29,CARDINAL,ADJECTIVE,Principal: capital: central: chief: fundamental: leading: main: primary,,Having clean hands is one of the cardinal rules when preparing food.<br>an issue of cardinal importance,
30,CELEBRATED,ADJECTIVE,Renowned: eminent: noted: legendary: acclaimed: prominent: distinguished,,a celebrated actress<br>a celebrated legal case,
53,CHAMPION,VERB,support: advocate: back: espouse,,This idea has been widely championed by academicians.,
31,CHAOTIC,ADJECTIVE,Disordered: anarchic: confused: riotous,,a chaotic mixture of images<br>The filthy and chaotic house<br>Chaotic social and economic conditions,
32,CHRONIC,ADJECTIVE,Persistent,,Chronic arthritis/heart disease<br>Chronic unemployment<br>There is a chronic shortage of teachers.<br>He was a chronic alcoholic and unable to hold down a job.<br>a chronic smoker<br>The service is chronically underfunded.,The adverb form is chronically.
33,CLING,VERB,Stick: adhere: clasp: embrace: grip: hug,,Passengers clung desperately onto the lifeboats.<br>His wet shirt clung to his body.<br>The smell of cigarette smoke clung to her clothes.<br>an attempt to cling to power,
34,COLLIDE,VERB,Crash: clash: conflict,,"A car and a van collided on the motorway.<br>I ran around the corner, and almost collided with Mrs. Laurence.<br>Two trains collided head-on (=when they were moving directly towards each other).<br>The President has again collided with Congress over his budget plans.<br>Istanbul, where east and west collide",
35,COMPRISE,VERB,Be composed to: consist of: contain: embrace: encompass,,"The house comprises two bedrooms, a kitchen, and a living room.<br>The committee is comprised of well-known mountaineers.<br>Women comprise a high proportion of part-time workers.",
40,CONGREGATE,VERB,Assemble: convene: gather,,Crowds began to congregate to hear the President's speech.,
52,CONSOLIDATE,VERB,strengthen: fortify: stabilize,,Samsung tries to consolidate its position in the market through introducing user-friendly smartphones. (verb)<br>You need to consolidate your language learning through regular practice.,The noun form is consolidation (Ex: Further consolidations in political power might follow the coup).
41,CONSPICUOUS,ADJECTIVE,Obvious: blatant: clear: evident: salient: outstanding: remarkable: striking,,The notice must be displayed in a conspicuous place.<br>a bird with conspicuous white markings<br>I felt very conspicuous in my red coat.<br>He had represented Italy with conspicuous success.<br>The award is given for notable or conspicuous achievement in science.<br>a group that were conspicuous by their absence from the awards ceremony,
42,CONTENTIOUS,ADJECTIVE,Argumentative: disputatious,,Contentious issue/area/subject etc.<br>Animal welfare did not become a contentious issue until the late 1970s.,
43,CONTIGUOUS,ADJECTIVE,Neighboring: adjacent: adjoining,,America's 48 contiguous states,
44 # 45,CONTRIVE,VERB # VERB,Bring about: manage: create: succeed # Definition: make sth skillfully,,"Schindler contrived to save more than 1,000 Polish Jews from the Nazis.<br>The lawsuit says oil companies contrived the oil shortage in the 1970s. (to do sth secretly) # In 1862, a technique was contrived to take a series of photographs showing stages of movement.",
